CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia_,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona _Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad Cliente,Tiempo,COMBO_ZONA_TIEMPO
32426,8,6,1,2,1,0,3,0,1,31,1,0,0,0.3333333333333333,0,3,0,2.56,3682,0,1,2,50,0.35714285714285715,0.3673059360730594
32432,8,6,1,2,1,0,3,1,1,18,0,0,0,0.0,0,3,0,2.26,1903,0,0,2,54,0.0,0.0
32475,8,6,1,2,1,3,0,0,2,2,1,0,0,1.0,1,2,1,2.47,3682,19128,0,1,50,0.0,0.3375342465753425
32504,8,6,1,2,1,2,0,1,2,2,1,0,0,0.3333333333333333,1,0,0,2.37,3590,14299,0,1,59,0.0,0.11251141552511415
32509,8,6,1,2,1,2,0,1,1,12,1,0,0,1.0,1,3,0,2.6,4639,22252,1,1,62,0.42857142857142855,0.6432876712328767
32516,8,6,1,2,1,0,0,1,1,46,0,0,0,0.0,1,3,1,2.45,1903,7574,0,2,49,0.0,0.0
32528,8,6,1,2,1,2,0,0,1,12,1,0,0,1.0,1,3,0,2.19,4198,33891,1,0,60,0.42857142857142855,0.6432876712328767
32534,8,6,1,2,1,3,0,1,1,28,0,0,0,0.3333333333333333,1,2,1,2.32,1903,18388,0,2,41,0.0,0.11251141552511415
32536,8,6,1,2,1,2,0,1,1,8,1,0,0,1.0,1,3,0,2.62,2799,21295,1,2,48,0.6428571428571429,0.796164383561644
32546,8,6,1,2,1,2,0,1,1,48,1,0,0,0.3333333333333333,1,3,0,2.28,4198,43155,1,1,49,0.5,0.46922374429223745
32556,8,6,1,2,1,2,0,0,1,47,1,0,0,1.0,1,3,0,2.5,2799,14572,1,1,60,0.5,0.6942465753424658
32558,8,6,1,2,1,0,0,0,2,26,0,0,0,1.0,1,1,0,2.57,3743,11223,1,2,70,0.5714285714285714,0.7452054794520548
32581,8,6,1,2,1,0,0,1,1,2,0,0,0,0.0,1,2,1,2.58,1903,14765,0,1,59,0.0,0.0
32588,8,6,1,2,1,2,0,1,1,7,1,0,0,0.0,1,3,0,2.56,3051,19781,0,2,55,0.0,0.0
32617,8,6,1,2,1,2,0,1,1,34,1,0,0,0.0,1,2,1,2.37,2799,11460,0,2,53,0.0,0.0
32642,8,6,1,2,1,2,0,1,1,34,1,0,0,0.0,1,3,0,2.42,2799,16363,0,1,59,0.0,0.0
32662,8,6,1,2,1,3,0,1,1,8,0,0,0,1.0,0,3,0,2.17,1903,0,1,1,31,0.21428571428571427,0.4904109589041095
32664,8,6,1,2,1,2,0,0,1,31,1,0,0,1.0,1,3,0,2.47,2799,15765,1,1,44,0.5714285714285714,0.7452054794520548
